#,#CBRO,Categoria,Nome do táxon (com autoria),Nome do táxon (sem autoria),Autoria,Data,Totais,Ordem,Subordem,Infraordem,Parvordem,Superfamília,Família,Subfamília,Gênero,Espécie,Subespécie,Nome em Português,English Name,Status,Notas (português),Notes (English)
1,CBRO#0001,Ordem,"Rheiformes Forbes, 1884",Rheiformes,Forbes,1884,1,Rheiformes,,,,,,,,,,,,,,
2,CBRO#0002,Família,"Rheidae Bonaparte, 1849",Rheidae,Bonaparte,1849,1,Rheiformes,,,,,Rheidae,,,,,,,,,
3,CBRO#0003,Gênero,"Rhea Brisson, 1760",Rhea,Brisson,1760,1,Rheiformes,,,,,Rheidae,,Rhea,,,,,,,
4,CBRO#0004,Espécie,"Rhea americana (Linnaeus, 1758)",Rhea americana,Linnaeus,1758,3,Rheiformes,,,,,Rheidae,,Rhea,americana,,ema,Greater Rhea,BR,,
5,CBRO#0005,Subespécie,"Rhea americana americana (Linnaeus, 1758)",Rhea americana americana,Linnaeus,1758,,Rheiformes,,,,,Rheidae,,Rhea,americana,americana,,,,,
6,CBRO#0006,Subespécie,"Rhea americana intermedia Rothschild & Chubb, 1914",Rhea americana intermedia,Rothschild & Chubb,1914,,Rheiformes,,,,,Rheidae,,Rhea,americana,intermedia,,,,,
7,CBRO#0007,Subespécie,"Rhea americana araneipes Brodkorb, 1938",Rhea americana araneipes,Brodkorb,1938,,Rheiformes,,,,,Rheidae,,Rhea,americana,araneipes,,,,,
8,CBRO#0008,Ordem,"Tinamiformes Huxley, 1872",Tinamiformes,Huxley,1872,24,Tinamiformes,,,,,,,,,,,,,,
9,CBRO#0009,Família,"Tinamidae Gray, 1840",Tinamidae,Gray,1840,24,Tinamiformes,,,,,Tinamidae,,,,,,,,,
10,CBRO#0010,Gênero,"Tinamus Hermann, 1783",Tinamus,Hermann,1783,4,Tinamiformes,,,,,Tinamidae,,Tinamus,,,,,,,
11,CBRO#0011,Espécie,"Tinamus tao Temminck, 1815",Tinamus tao,Temminck,1815,2,Tinamiformes,,,,,Tinamidae,,Tinamus,tao,,azulona,Gray Tinamou,BR,,
12,CBRO#0012,Subespécie,"Tinamus tao tao Temminck, 1815",Tinamus tao tao,Temminck,1815,,Tinamiformes,,,,,Tinamidae,,Tinamus,tao,tao,,,,,
13,CBRO#0013,Subespécie,"Tinamus tao kleei (Tschudi, 1843)",Tinamus tao kleei,Tschudi,1843,,Tinamiformes,,,,,Tinamidae,,Tinamus,tao,kleei,,,,"As formas T. t. kleei, T. t. larensis e T. t. tao, que ocorrem principalmente ao sul e a oeste do rio Amazonas, aparentemente intergradam-se; a validade dos táxons T. t. kleei e T. t. larensis (que não ocorre no Brasil) é, portanto, questionável.","Forms T. t. kleei, T. t. larensis and T. t. tao, occurring mainly south and west of the Amazon River, apparently intergrade; thus, the validity of kleei and larensis (extralimital) is questionable."
14,CBRO#0014,Espécie,"Tinamus solitarius (Vieillot, 1819)",Tinamus solitarius,Vieillot,1819,,Tinamiformes,,,,,Tinamidae,,Tinamus,solitarius,,macuco,Solitary Tinamou,BR,,
15,CBRO#0015,Espécie,"Tinamus major (Gmelin, 1789)",Tinamus major,Gmelin,1789,4,Tinamiformes,,,,,Tinamidae,,Tinamus,major,,inhambu-serra,Great Tinamou,BR,,
16,CBRO#0016,Subespécie,"Tinamus major major (Gmelin, 1789)",Tinamus major major,Gmelin,1789,,Tinamiformes,,,,,Tinamidae,,Tinamus,major,major,,,,,
17,CBRO#0017,Subespécie,"Tinamus major serratus (Spix, 1825)",Tinamus major serratus,Spix,1825,,Tinamiformes,,,,,Tinamidae,,Tinamus,major,serratus,,,,,
18,CBRO#0018,Subespécie,"Tinamus major olivascens Conover, 1937",Tinamus major olivascens,Conover,1937,,Tinamiformes,,,,,Tinamidae,,Tinamus,major,olivascens,,,,,
19,CBRO#0019,Subespécie,"Tinamus major peruvianus Bonaparte, 1856",Tinamus major peruvianus,Bonaparte,1856,,Tinamiformes,,,,,Tinamidae,,Tinamus,major,peruvianus,,,,,
20,CBRO#0020,Espécie,"Tinamus guttatus Pelzeln, 1863",Tinamus guttatus,Pelzeln,1863,,Tinamiformes,,,,,Tinamidae,,Tinamus,guttatus,,inhambu-galinha,White-throated Tinamou,BR,,
21,CBRO#0021,Gênero,"Crypturellus Brabourne & Chubb, 1914",Crypturellus,Brabourne & Chubb,1914,15,Tinamiformes,,,,,Tinamidae,,Crypturellus,,,,,,,
22,CBRO#0022,Espécie,"Crypturellus cinereus (Gmelin, 1789)",Crypturellus cinereus,Gmelin,1789,,Tinamiformes,,,,,Tinamidae,,Crypturellus,cinereus,,inhambu-pixuna,Cinereous Tinamou,BR,,
23,CBRO#0023,Espécie,"Crypturellus soui (Hermann, 1783)",Crypturellus soui,Hermann,1783,3,Tinamiformes,,,,,Tinamidae,,Crypturellus,soui,,tururim,Little Tinamou,BR,,
24,CBRO#0024,Subespécie,"Crypturellus soui soui (Hermann, 1783)",Crypturellus soui soui,Hermann,1783,,Tinamiformes,,,,,Tinamidae,,Crypturellus,soui,soui,,,,,
25,CBRO#0025,Subespécie,"Crypturellus soui albigularis (Brabourne & Chubb, 1914)",Crypturellus soui albigularis,Brabourne & Chubb,1914,,Tinamiformes,,,,,Tinamidae,,Crypturellus,soui,albigularis,,,,,
26,CBRO#0026,Subespécie,"Crypturellus soui inconspicuus Carriker, 1935",Crypturellus soui inconspicuus,Carriker,1935,,Tinamiformes,,,,,Tinamidae,,Crypturellus,soui,inconspicuus,,,,Espécime (MZUSP) do rio Juruá subsequentemente identificado como inconspicuus (Novaes 1957).,Specimen (MZUSP) from Rio Jurua subsequently identified as inconspicuus (Novaes 1957).
27,CBRO#0027,Espécie,"Crypturellus obsoletus (Temminck, 1815)",Crypturellus obsoletus,Temminck,1815,4,Tinamiformes,,,,,Tinamidae,,Crypturellus,obsoletus,,inhambuguaçu,Brown Tinamou,BR,,
28,CBRO#4876,Subespécie,Crypturellus obsoletus ssp.,Crypturellus obsoletus ssp.,,,,Tinamiformes,,,,,Tinamidae,,Crypturellus,obsoletus,ssp.,,,,"Gomes & Silveira (2021) sustentam que os registros do Acre seriam atribuíveis a C. o. punensis, contra Guilherme (2016), que tratou essas populações como C. o. ochraceiventris. Na falta de espécimes ou dados adicionais, a forma que ocorre no sudoeste da Amazônia brasileira é listada aqui como Crypturellus obsoletus ssp.","Gomes and Silveira (2021) suggested that birds from Acre should be assigned to C. o. punensis, contra Guilherme (2016), who treated these populations as C. o. ochraceiventris. In the absence of specimens or additional data, the form occurring in the southwestern Brazilian Amazon is listed here as Crypturellus obsoletus ssp."
29,CBRO#0028,Subespécie,"Crypturellus obsoletus griseiventris (Salvadori, 1895)",Crypturellus obsoletus griseiventris,Salvadori,1895,,Tinamiformes,,,,,Tinamidae,,Crypturellus,obsoletus,griseiventris,,,,"Gomes & Silveira (2021) demonstram claramente que C. o. hypochraceus é sinônimo de C. o. griseiventris e que este deve ser considerado uma espécie distinta no complexo C. obsoletus. A adoção do tratamento proposto pelo CBRO, entretanto, aguarda uma revisão abrangente de todo o complexo.","Gomes and Silveira (2021) clearly demonstrate that C. o. hypochraceus is a synonym of C. o. griseiventris and that the latter should be considered a distinct species in the C. obsoletus complex. The adoption of this treatment by the CBRO, however, awaits a comprehensive analysis of the entire complex."
30,CBRO#0029,Subespécie,"Crypturellus obsoletus hypochraceus (Miranda-Ribeiro, 1938)",Crypturellus obsoletus hypochraceus,Miranda-Ribeiro,1938,,Tinamiformes,,,,,Tinamidae,,Crypturellus,obsoletus,hypochraceus,,,,,
31,CBRO#0030,Subespécie,"Crypturellus obsoletus obsoletus (Temminck, 1815)",Crypturellus obsoletus obsoletus,Temminck,1815,,Tinamiformes,,,,,Tinamidae,,Crypturellus,obsoletus,obsoletus,,,,,
32,CBRO#0031,Espécie,"Crypturellus undulatus (Temminck, 1815)",Crypturellus undulatus,Temminck,1815,5,Tinamiformes,,,,,Tinamidae,,Crypturellus,undulatus,,jaó,Undulated Tinamou,BR,,
33,CBRO#0032,Subespécie,"Crypturellus undulatus simplex (Salvadori, 1895)",Crypturellus undulatus simplex,Salvadori,1895,,Tinamiformes,,,,,Tinamidae,,Crypturellus,undulatus,simplex,,,,,
34,CBRO#0033,Subespécie,"Crypturellus undulatus yapura (Spix, 1825)",Crypturellus undulatus yapura,Spix,1825,,Tinamiformes,,,,,Tinamidae,,Crypturellus,undulatus,yapura,,,,,
35,CBRO#0034,Subespécie,"Crypturellus undulatus adspersus (Temminck, 1815)",Crypturellus undulatus adspersus,Temminck,1815,,Tinamiformes,,,,,Tinamidae,,Crypturellus,undulatus,adspersus,,,,,
36,CBRO#0035,Subespécie,"Crypturellus undulatus vermiculatus (Temminck, 1825)",Crypturellus undulatus vermiculatus,Temminck,1825,,Tinamiformes,,,,,Tinamidae,,Crypturellus,undulatus,vermiculatus,,,,,
37,CBRO#0036,Subespécie,"Crypturellus undulatus undulatus (Temminck, 1815)",Crypturellus undulatus undulatus,Temminck,1815,,Tinamiformes,,,,,Tinamidae,,Crypturellus,undulatus,undulatus,,,,,
38,CBRO#0037,Espécie,"Crypturellus strigulosus (Temminck, 1815)",Crypturellus strigulosus,Temminck,1815,,Tinamiformes,,,,,Tinamidae,,Crypturellus,strigulosus,,inhambu-relógio,Brazilian Tinamou,BR,,
39,CBRO#0038,Espécie,"Crypturellus duidae Zimmer, 1938",Crypturellus duidae,Zimmer,1938,,Tinamiformes,,,,,Tinamidae,,Crypturellus,duidae,,inhambu-de-pé-cinza,Gray-legged Tinamou,BR#,,
40,CBRO#0039,Espécie,"Crypturellus erythropus (Pelzeln, 1863)",Crypturellus erythropus,Pelzeln,1863,1,Tinamiformes,,,,,Tinamidae,,Crypturellus,erythropus,,inhambu-de-perna-vermelha,Red-legged Tinamou,BR,,
41,CBRO#0040,Subespécie,"Crypturellus erythropus erythropus (Pelzeln, 1863)",Crypturellus erythropus erythropus,Pelzeln,1863,,Tinamiformes,,,,,Tinamidae,,Crypturellus,erythropus,erythropus,,,,,
42,CBRO#0041,Espécie,"Crypturellus zabele (Spix, 1825)",Crypturellus zabele,Spix,1825,,Tinamiformes,,,,,Tinamidae,,Crypturellus,zabele,,zabelê,Zabele Tinamou,"BR, En","Tomotani & Silveira (2016) apresentam evidências baseadas em caracteres da plumagem e coloração do tarso, bem como coloração e morfologia dos ovos, que sustentam a independência de C. zabele em relação a C. noctivagus.","Tomotani and Silveira (2016) presented evidence based on plumage characteristics, tarsus color, and color and shape of eggs that support the independence of C. zabele in relation to C. noctivagus."
43,CBRO#0042,Espécie,"Crypturellus noctivagus (Wied, 1820)",Crypturellus noctivagus,Wied,1820,,Tinamiformes,,,,,Tinamidae,,Crypturellus,noctivagus,,jaó-do-sul,Yellow-legged Tinamou,"BR, En",,
44,CBRO#0044,Espécie,"Crypturellus atrocapillus (Tschudi, 1844)",Crypturellus atrocapillus,Tschudi,1844,2,Tinamiformes,,,,,Tinamidae,,Crypturellus,atrocapillus,,inhambu-de-coroa-preta,Black-capped Tinamou,BR,,
45,CBRO#0045,Subespécie,"Crypturellus atrocapillus atrocapillus (Tschudi, 1844)",Crypturellus atrocapillus atrocapillus,Tschudi,1844,,Tinamiformes,,,,,Tinamidae,,Crypturellus,atrocapillus,atrocapillus,,,,,
46,CBRO#4877,Subespécie,"Crypturellus atrocapillus garleppi (Berlepsch, 1892)",Crypturellus atrocapillus garleppi,Berlepsch,1892,,Tinamiformes,,,,,Tinamidae,,Crypturellus,atrocapillus,garleppi,,,,"Subespécie ocorrente no Brasil (leste do Acre), segundo BOW e XC.",Occurs in Brazil (eastern Acre) according to BOW and XC.
47,CBRO#0046,Espécie,"Crypturellus variegatus (Gmelin, 1789)",Crypturellus variegatus,Gmelin,1789,,Tinamiformes,,,,,Tinamidae,,Crypturellus,variegatus,,inhambu-anhangá,Variegated Tinamou,BR,,
48,CBRO#0047,Espécie,"Crypturellus brevirostris (Pelzeln, 1863)",Crypturellus brevirostris,Pelzeln,1863,,Tinamiformes,,,,,Tinamidae,,Crypturellus,brevirostris,,inhambu-carijó,Rusty Tinamou,BR,,
49,CBRO#0048,Espécie,"Crypturellus bartletti (Sclater & Salvin, 1873)",Crypturellus bartletti,Sclater & Salvin,1873,,Tinamiformes,,,,,Tinamidae,,Crypturellus,bartletti,,inhambu-anhangaí,Bartlett's Tinamou,BR,,
50,CBRO#0049,Espécie,"Crypturellus parvirostris (Wagler, 1827)",Crypturellus parvirostris,Wagler,1827,,Tinamiformes,,,,,Tinamidae,,Crypturellus,parvirostris,,inhambu-chororó,Small-billed Tinamou,BR,,
51,CBRO#0050,Espécie,"Crypturellus tataupa (Temminck, 1815)",Crypturellus tataupa,Temminck,1815,2,Tinamiformes,,,,,Tinamidae,,Crypturellus,tataupa,,inhambu-chintã,Tataupa Tinamou,BR,Os limites de distribuição entre a forma nominal e C. t. lepidotus (de validade questionável) são pouco conhecidos.,Distribution limits between nominate and C. t. lepidotus (of questionable validity) poorly known.
52,CBRO#0051,Subespécie,"Crypturellus tataupa lepidotus (Swainson, 1837)",Crypturellus tataupa lepidotus,Swainson,1837,,Tinamiformes,,,,,Tinamidae,,Crypturellus,tataupa,lepidotus,,,,,
53,CBRO#0052,Subespécie,"Crypturellus tataupa tataupa (Temminck, 1815)",Crypturellus tataupa tataupa,Temminck,1815,,Tinamiformes,,,,,Tinamidae,,Crypturellus,tataupa,tataupa,,,,,
54,CBRO#0053,Gênero,"Rhynchotus Spix, 1825",Rhynchotus,Spix,1825,1,Tinamiformes,,,,,Tinamidae,,Rhynchotus,,,,,,,
55,CBRO#0054,Espécie,"Rhynchotus rufescens (Temminck, 1815)",Rhynchotus rufescens,Temminck,1815,2,Tinamiformes,,,,,Tinamidae,,Rhynchotus,rufescens,,perdiz,Red-winged Tinamou,BR,,
56,CBRO#0055,Subespécie,"Rhynchotus rufescens catingae Reiser, 1905",Rhynchotus rufescens catingae,Reiser,1905,,Tinamiformes,,,,,Tinamidae,,Rhynchotus,rufescens,catingae,,,,"Táxon conhecido de pouquíssimos exemplares em coleções e que pode entrar em contato com a forma nominal, que agora expande sua distribuição devido ao avanço das pastagens.","Known from very few specimens; range may meet that of nominate, which is now expanding due to land-use changes."
57,CBRO#0056,Subespécie,"Rhynchotus rufescens rufescens (Temminck, 1815)",Rhynchotus rufescens rufescens,Temminck,1815,,Tinamiformes,,,,,Tinamidae,,Rhynchotus,rufescens,rufescens,,,,,
58,CBRO#0057,Gênero,"Nothura Wagler, 1827",Nothura,Wagler,1827,3,Tinamiformes,,,,,Tinamidae,,Nothura,,,,,,,
59,CBRO#0058,Espécie,"Nothura boraquira (Spix, 1825)",Nothura boraquira,Spix,1825,,Tinamiformes,,,,,Tinamidae,,Nothura,boraquira,,codorna-do-nordeste,White-bellied Nothura,BR,,
60,CBRO#0059,Espécie,"Nothura minor (Spix, 1825)",Nothura minor,Spix,1825,,Tinamiformes,,,,,Tinamidae,,Nothura,minor,,codorna-mineira,Lesser Nothura,BR,,
61,CBRO#0060,Espécie,"Nothura maculosa (Temminck, 1815)",Nothura maculosa,Temminck,1815,3,Tinamiformes,,,,,Tinamidae,,Nothura,maculosa,,codorna-amarela,Spotted Nothura,BR,,
62,CBRO#0061,Subespécie,"Nothura maculosa cearensis Naumburg, 1932",Nothura maculosa cearensis,Naumburg,1932,,Tinamiformes,,,,,Tinamidae,,Nothura,maculosa,cearensis,,,,,
63,CBRO#0062,Subespécie,"Nothura maculosa major (Spix, 1825)",Nothura maculosa major,Spix,1825,,Tinamiformes,,,,,Tinamidae,,Nothura,maculosa,major,,,,,
64,CBRO#0063,Subespécie,"Nothura maculosa maculosa (Temminck, 1815)",Nothura maculosa maculosa,Temminck,1815,,Tinamiformes,,,,,Tinamidae,,Nothura,maculosa,maculosa,,,,,
65,CBRO#0064,Gênero,"Taoniscus Gloger, 1842",Taoniscus,Gloger,1842,1,Tinamiformes,,,,,Tinamidae,,Taoniscus,,,,,,,
66,CBRO#0065,Espécie,"Taoniscus nanus (Temminck, 1815)",Taoniscus nanus,Temminck,1815,,Tinamiformes,,,,,Tinamidae,,Taoniscus,nanus,,codorna-carapé,Dwarf Tinamou,BR,,
67,CBRO#0066,Ordem,"Anseriformes Linnaeus, 1758",Anseriformes,Linnaeus,1758,28,Anseriformes,,,,,,,,,,,,,,
68,CBRO#0067,Família,"Anhimidae Stejneger, 1885",Anhimidae,Stejneger,1885,2,Anseriformes,,,,,Anhimidae,,,,,,,,,
69,CBRO#0068,Gênero,"Anhima Brisson, 1760",Anhima,Brisson,1760,1,Anseriformes,,,,,Anhimidae,,Anhima,,,,,,,
70,CBRO#0069,Espécie,"Anhima cornuta (Linnaeus, 1766)",Anhima cornuta,Linnaeus,1766,,Anseriformes,,,,,Anhimidae,,Anhima,cornuta,,anhuma,Horned Screamer,BR,,
71,CBRO#0070,Gênero,"Chauna Illiger, 1811",Chauna,Illiger,1811,1,Anseriformes,,,,,Anhimidae,,Chauna,,,,,,,
72,CBRO#0071,Espécie,"Chauna torquata (Oken, 1816)",Chauna torquata,Oken,1816,,Anseriformes,,,,,Anhimidae,,Chauna,torquata,,tachã,Southern Screamer,BR,,
73,CBRO#0072,Família,"Anatidae Leach, 1820",Anatidae,Leach,1820,26,Anseriformes,,,,,Anatidae,,,,,,,,,
74,CBRO#0073,Subfamília,"Dendrocygninae Reichenbach, 1850",Dendrocygninae,Reichenbach,1850,3,Anseriformes,,,,,Anatidae,Dendrocygninae,,,,,,,,
75,CBRO#0074,Gênero,"Dendrocygna Swainson, 1837",Dendrocygna,Swainson,1837,3,Anseriformes,,,,,Anatidae,Dendrocygninae,Dendrocygna,,,,,,,
76,CBRO#0075,Espécie,"Dendrocygna bicolor (Vieillot, 1816)",Dendrocygna bicolor,Vieillot,1816,,Anseriformes,,,,,Anatidae,Dendrocygninae,Dendrocygna,bicolor,,marreca-caneleira,Fulvous Whistling-Duck,"BR, VI (W)",,
77,CBRO#0076,Espécie,"Dendrocygna viduata (Linnaeus, 1766)",Dendrocygna viduata,Linnaeus,1766,,Anseriformes,,,,,Anatidae,Dendrocygninae,Dendrocygna,viduata,,irerê,White-faced Whistling-Duck,BR,,
78,CBRO#0077,Espécie,"Dendrocygna autumnalis (Linnaeus, 1758)",Dendrocygna autumnalis,Linnaeus,1758,1,Anseriformes,,,,,Anatidae,Dendrocygninae,Dendrocygna,autumnalis,,marreca-cabocla,Black-bellied Whistling-Duck,BR,,
79,CBRO#0078,Subespécie,"Dendrocygna autumnalis autumnalis (Linnaeus, 1758)",Dendrocygna autumnalis autumnalis,Linnaeus,1758,,Anseriformes,,,,,Anatidae,Dendrocygninae,Dendrocygna,autumnalis,autumnalis,,,,"O nome autumnalis se aplica à subespécie do sul, tornando o nome discolor (citado em Grantsau 2010) um sinônimo júnior.","The name autumnalis applies to the southern subspecies, making the name discolor (cited in Grantsau 2010) a junior synonym."
80,CBRO#0079,Subfamília,"Anserinae Vigors, 1825",Anserinae,Vigors,1825,2,Anseriformes,,,,,Anatidae,Anserinae,,,,,,,,
81,CBRO#0080,Gênero,"Cygnus Garsault, 1764",Cygnus,Garsault,1764,1,Anseriformes,,,,,Anatidae,Anserinae,Cygnus,,,,,,,
82,CBRO#0081,Espécie,"Cygnus melancoryphus (Molina, 1782)",Cygnus melancoryphus,Molina,1782,,Anseriformes,,,,,Anatidae,Anserinae,Cygnus,melancoryphus,,cisne-de-pescoço-preto,Black-necked Swan,BR,,
83,CBRO#0082,Gênero,"Coscoroba Reichenbach, 1853",Coscoroba,Reichenbach,1853,1,Anseriformes,,,,,Anatidae,Anserinae,Coscoroba,,,,,,,
84,CBRO#0083,Espécie,"Coscoroba coscoroba (Molina, 1782)",Coscoroba coscoroba,Molina,1782,,Anseriformes,,,,,Anatidae,Anserinae,Coscoroba,coscoroba,,capororoca,Coscoroba Swan,BR,,
85,CBRO#0084,Subfamília,"Anatinae Leach, 1820",Anatinae,Leach,1820,21,Anseriformes,,,,,Anatidae,Anatinae,,,,,,,,
86,CBRO#0088,Gênero,"Neochen Oberholser, 1918",Neochen,Oberholser,1918,1,Anseriformes,,,,,Anatidae,Anatinae,Neochen,,,,,,,
87,CBRO#0089,Espécie,"Neochen jubata (Spix, 1825)",Neochen jubata,Spix,1825,,Anseriformes,,,,,Anatidae,Anatinae,Neochen,jubata,,pato-corredor,Orinoco Goose,BR,,
88,CBRO#0085,Gênero,"Chloephaga Eyton, 1838",Chloephaga,Eyton,1838,1,Anseriformes,,,,,Anatidae,Anatinae,Chloephaga,,,,,,,
89,CBRO#0086,Espécie,"Chloephaga picta (Gmelin, 1789)",Chloephaga picta,Gmelin,1789,1,Anseriformes,,,,,Anatidae,Anatinae,Chloephaga,picta,,ganso-de-magalhães,Upland Goose,VA (S),,
90,CBRO#0087,Subespécie,"Chloephaga picta picta (Gmelin, 1789)",Chloephaga picta picta,Gmelin,1789,,Anseriformes,,,,,Anatidae,Anatinae,Chloephaga,picta,picta,,,,,
91,CBRO#0090,Gênero,"Cairina Fleming, 1822",Cairina,Fleming,1822,1,Anseriformes,,,,,Anatidae,Anatinae,Cairina,,,,,,,
92,CBRO#0091,Espécie,"Cairina moschata (Linnaeus, 1758)",Cairina moschata,Linnaeus,1758,,Anseriformes,,,,,Anatidae,Anatinae,Cairina,moschata,,pato-do-mato,Muscovy Duck,BR,,
93,CBRO#0092,Gênero,"Sarkidiornis Eyton, 1838",Sarkidiornis,Eyton,1838,1,Anseriformes,,,,,Anatidae,Anatinae,Sarkidiornis,,,,,,,
94,CBRO#0093,Espécie,"Sarkidiornis sylvicola Ihering & Ihering, 1907",Sarkidiornis sylvicola,Ihering & Ihering,1907,,Anseriformes,,,,,Anatidae,Anatinae,Sarkidiornis,sylvicola,,pato-de-crista,Comb Duck,BR,,
95,CBRO#0094,Gênero,"Callonetta Delacour, 1936",Callonetta,Delacour,1936,1,Anseriformes,,,,,Anatidae,Anatinae,Callonetta,,,,,,,
96,CBRO#0095,Espécie,"Callonetta leucophrys (Vieillot, 1816)",Callonetta leucophrys,Vieillot,1816,,Anseriformes,,,,,Anatidae,Anatinae,Callonetta,leucophrys,,marreca-de-coleira,Ringed Teal,BR,,
97,CBRO#0096,Gênero,"Amazonetta Boetticher, 1929",Amazonetta,Boetticher,1929,1,Anseriformes,,,,,Anatidae,Anatinae,Amazonetta,,,,,,,
98,CBRO#0097,Espécie,"Amazonetta brasiliensis (Gmelin, 1789)",Amazonetta brasiliensis,Gmelin,1789,2,Anseriformes,,,,,Anatidae,Anatinae,Amazonetta,brasiliensis,,marreca-ananaí,Brazilian Teal,BR,,
99,CBRO#0098,Subespécie,"Amazonetta brasiliensis brasiliensis (Gmelin, 1789)",Amazonetta brasiliensis brasiliensis,Gmelin,1789,,Anseriformes,,,,,Anatidae,Anatinae,Amazonetta,brasiliensis,brasiliensis,,,,,
100,CBRO#0099,Subespécie,"Amazonetta brasiliensis ipecutiri (Vieillot, 1816)",Amazonetta brasiliensis ipecutiri,Vieillot,1816,,Anseriformes,,,,,Anatidae,Anatinae,Amazonetta,brasiliensis,ipecutiri,,,,,
101,CBRO#4878,Gênero,"Spatula Boie, 1822",Spatula,Boie,1822,4,Anseriformes,,,,,Anatidae,Anatinae,Spatula,,,,,,Adoção de Spatula conforme Gonzales et al. (2009) e Sun et al. (2017).,Recognition of Spatula follows Gonzales et al. (2009) and Sun et al. (2017).
102,CBRO#0110,Espécie,"Spatula versicolor (Vieillot, 1816)",Spatula versicolor,Vieillot,1816,1,Anseriformes,,,,,Anatidae,Anatinae,Spatula,versicolor,,marreca-cricri,Silver Teal,"BR, VI (W)",,
103,CBRO#0111,Subespécie,"Spatula versicolor versicolor (Vieillot, 1816)",Spatula versicolor versicolor,Vieillot,1816,,Anseriformes,,,,,Anatidae,Anatinae,Spatula,versicolor,versicolor,,,,,
104,CBRO#0115,Espécie,"Spatula platalea (Vieillot, 1816)",Spatula platalea,Vieillot,1816,,Anseriformes,,,,,Anatidae,Anatinae,Spatula,platalea,,marreca-colhereira,Red Shoveler,"VI (S), BR",,
105,CBRO#0112,Espécie,"Spatula discors (Linnaeus, 1766)",Spatula discors,Linnaeus,1766,,Anseriformes,,,,,Anatidae,Anatinae,Spatula,discors,,marreca-de-asa-azul,Blue-winged Teal,VI (N),,
106,CBRO#0113,Espécie,"Spatula cyanoptera (Vieillot, 1816)",Spatula cyanoptera,Vieillot,1816,1,Anseriformes,,,,,Anatidae,Anatinae,Spatula,cyanoptera,,marreca-colorada,Cinnamon Teal,VA (S),,
107,CBRO#0114,Subespécie,"Spatula cyanoptera cyanoptera (Vieillot, 1816)",Spatula cyanoptera cyanoptera,Vieillot,1816,,Anseriformes,,,,,Anatidae,Anatinae,Spatula,cyanoptera,cyanoptera,,,,,
108,CBRO#4879,Gênero,"Mareca Stephens, 1824",Mareca,Stephens,1824,1,Anseriformes,,,,,Anatidae,Anatinae,Mareca,,,,,,"A ressurreição de Mareca, implementada em Dickinson & Remsen (2013), provém da filogenia proposta por Gonzales et al. (2009).","The resurrection of Mareca, implemented in Dickinson and Remsen (2013), derives from the phylogeny proposed by Gonzales et al. (2009)."
109,CBRO#0101,Espécie,"Mareca sibilatrix (Poeppig, 1829)",Mareca sibilatrix,Poeppig,1829,,Anseriformes,,,,,Anatidae,Anatinae,Mareca,sibilatrix,,marreca-oveira,Chiloe Wigeon,VI (S),,
110,CBRO#0100,Gênero,"Anas Linnaeus, 1758",Anas,Linnaeus,1758,4,Anseriformes,,,,,Anatidae,Anatinae,Anas,,,,,,,
111,CBRO#0107,Espécie,"Anas bahamensis Linnaeus, 1758",Anas bahamensis,Linnaeus,1758,2,Anseriformes,,,,,Anatidae,Anatinae,Anas,bahamensis,,marreca-toicinho,White-cheeked Pintail,BR,,
112,CBRO#0108,Subespécie,"Anas bahamensis bahamensis Linnaeus, 1758",Anas bahamensis bahamensis,Linnaeus,1758,,Anseriformes,,,,,Anatidae,Anatinae,Anas,bahamensis,bahamensis,,,,,
113,CBRO#0109,Subespécie,"Anas bahamensis rubrirostris Vieillot, 1816",Anas bahamensis rubrirostris,Vieillot,1816,,Anseriformes,,,,,Anatidae,Anatinae,Anas,bahamensis,rubrirostris,,,,,
114,CBRO#0104,Espécie,"Anas acuta Linnaeus, 1758",Anas acuta,Linnaeus,1758,,Anseriformes,,,,,Anatidae,Anatinae,Anas,acuta,,arrabio,Northern Pintail,"VA (N?, E?)",,
115,CBRO#0105,Espécie,"Anas georgica Gmelin, 1789",Anas georgica,Gmelin,1789,1,Anseriformes,,,,,Anatidae,Anatinae,Anas,georgica,,marreca-parda,Yellow-billed Pintail,"BR, VI (W)",,
116,CBRO#0106,Subespécie,"Anas georgica spinicauda Vieillot, 1816",Anas georgica spinicauda,Vieillot,1816,,Anseriformes,,,,,Anatidae,Anatinae,Anas,georgica,spinicauda,,,,,
117,CBRO#0102,Espécie,"Anas flavirostris Vieillot, 1816",Anas flavirostris,Vieillot,1816,1,Anseriformes,,,,,Anatidae,Anatinae,Anas,flavirostris,,marreca-pardinha,Yellow-billed Teal,BR,,
118,CBRO#0103,Subespécie,"Anas flavirostris flavirostris Vieillot, 1816",Anas flavirostris flavirostris,Vieillot,1816,,Anseriformes,,,,,Anatidae,Anatinae,Anas,flavirostris,flavirostris,,,,,
119,CBRO#0116,Gênero,"Netta Kaup, 1829",Netta,Kaup,1829,2,Anseriformes,,,,,Anatidae,Anatinae,Netta,,,,,,,
120,CBRO#0117,Espécie,"Netta erythrophthalma (Wied, 1833)",Netta erythrophthalma,Wied,1833,1,Anseriformes,,,,,Anatidae,Anatinae,Netta,erythrophthalma,,paturi-preta,Southern Pochard,BR,,
