cbro_code,nvt,name_ptbr,name_english,status,list_type,category,order,suborder,infraorder,parvorder,superfamily,family,subfamily,genera,species,popular_2015,technical_2015,english_cbro_2015,species_code,name_sci,range,name_spanish,name_german,name_italian,name_french,name_czech,name_danish,name_dutch,name_estonian,name_finnish,name_hungarian,name_chinese,name_japanese,name_norwegian,name_polish,name_russian,name_slovak,name_swedish
CBRO#0004,Rhea americana,ema,Greater Rhea,BR,1 Primária,09 Espécie,Rheiformes,,,,,Rheidae,,Rhea,americana,ema,Rhea americana,Greater Rhea,grerhe1,Rhea americana,,Ñandú Común,Nandu,Nandù,Nandou d'Amérique,nandu pampový,Nandu,Nandoe,nandu,nandu,nandu,大美洲鸵,レア,Stornandu,nandu szare,Обыкновенный нанду,nandu pampový,Nandu
CBRO#0011,Tinamus tao,azulona,Gray Tinamou,BR,1 Primária,09 Espécie,Tinamiformes,,,,,Tinamidae,,Tinamus,tao,azulona,Tinamus tao,Gray Tinamou,grytin1,Tinamus tao,,Tinamú Tao,Tao,Tinamo grigio,Tinamou tao,tinama tao,Grå Tinamu,Grijze Tinamoe,halltinamu,harmaatinami,szürke tinamu,灰(共鸟),ハイイロシギダチョウ,Taotinamu,kusacz szary,Тао,tinama sivá,Grå tinamo
CBRO#0014,Tinamus solitarius,macuco,Solitary Tinamou,BR,1 Primária,09 Espécie,Tinamiformes,,,,,Tinamidae,,Tinamus,solitarius,macuco,Tinamus solitarius,Solitary Tinamou,soltin1,Tinamus solitarius,E Brazil to se Paraguay and extreme ne Argentina (Misiones),Tinamú Macuco,Grausteißtinamu,Tinamo solitario,Tinamou solitaire,tinama samotářská,Olivengrå Tinamu,Kluizenaarstinamoe,eraktinamu,erakkotinami,remetetinamu,孤(共鸟),オバシギダチョウ,Eremittinamu,kusacz samotny,Тинаму-пустынник,tinama samotárska,Eremittinamo
CBRO#0015,Tinamus major,inhambu-serra,Great Tinamou,BR,1 Primária,09 Espécie,Tinamiformes,,,,,Tinamidae,,Tinamus,major,inambu-serra,Tinamus major,Great Tinamou,gretin1,Tinamus major,,Tinamú Oliváceo,Großtinamu,Tinamo grosso,Grand Tinamou,tinama větší,Stor Tinamu,Grote Tinamoe,suurtinamu,isotinami,nagy tinamu,大(共鸟),オオシギダチョウ,Stortinamu,kusacz duży,Большой тинаму,tinama veľká,Större tinamo
CBRO#0020,Tinamus guttatus,inhambu-galinha,White-throated Tinamou,BR,1 Primária,09 Espécie,Tinamiformes,,,,,Tinamidae,,Tinamus,guttatus,inambu-galinha,Tinamus guttatus,White-throated Tinamou,whttin1,Tinamus guttatus,SE Colombia and s Venezuela to n Bolivia and Amaz. Brazil,Tinamú Moteado,Weißkehltinamu,Tinamo golabianca,Tinamou à gorge blanche,tinama tečkovaná,Gråisset Tinamu,Witkeeltinamoe,helmestinamu,helmitinami,fehértorkú tinamu,白喉(共鸟),ノドジロシギダチョウ,Perletinamu,kusacz kropkowany,Белогорлый тинаму,tinama bielohrdlá,Vitstrupig tinamo
CBRO#0022,Crypturellus cinereus,inhambu-pixuna,Cinereous Tinamou,BR,1 Primária,09 Espécie,Tinamiformes,,,,,Tinamidae,,Crypturellus,cinereus,inambu-pixuna,Crypturellus cinereus,Cinereous Tinamou,cintin1,Crypturellus cinereus,SE Colombia to Guianas; s Venezuela; n Bolivia and ne Brazil,Tinamú Sombrío,Grautinamu,Tinamo cenerino,Tinamou cendré,tinama podrostní,Asketinamu,Grauwe Tinamoe,tõmmu-metstinamu,punapäätinami,,灰穴(共鸟),ムジシギダチョウ,Gråtinamu,kusacz popielaty,Серый криптуреллус,tinama popolavá,Askgrå tinamo
CBRO#0023,Crypturellus soui,tururim,Little Tinamou,BR,1 Primária,09 Espécie,Tinamiformes,,,,,Tinamidae,,Crypturellus,soui,tururim,Crypturellus soui,Little Tinamou,littin1,Crypturellus soui,,Tinamú Chico,Brauntinamu,Tinamo piccolo,Tinamou soui,tinama malá,Lille Tinamu,Kleine Tinamoe,väike-metstinamu,pikkutinami,apró tinamu,小穴(共鸟),コシギダチョウ,Småtinamu,kusacz czarnogłowy,Коричневый криптуреллус,tinama malá,Mindre tinamo
CBRO#0027,Crypturellus obsoletus,inhambuguaçu,Brown Tinamou,BR,1 Primária,09 Espécie,Tinamiformes,,,,,Tinamidae,,Crypturellus,obsoletus,inambuguaçu,Crypturellus obsoletus,Brown Tinamou,brotin1,Crypturellus obsoletus,,Tinamú Café,Kastanientinamu,Tinamo bruno,Tinamou brun,tinama hnědá,Brun Tinamu,Bruine Tinamoe,pruun-metstinamu,ruskotinami,,褐穴(共鸟),チャイロシギダチョウ,Bruntinamu,kusacz kasztanowaty,Каштановый криптуреллус,tinama gaštanová,Brun tinamo
CBRO#0031,Crypturellus undulatus,jaó,Undulated Tinamou,BR,1 Primária,09 Espécie,Tinamiformes,,,,,Tinamidae,,Crypturellus,undulatus,jaó,Crypturellus undulatus,Undulated Tinamou,undtin1,Crypturellus undulatus,,Tinamú Ondulado,Wellentinamu,Tinamo vermicolato,Tinamou vermiculé,tinama vlnkovaná,Bølgetinamu,Marmertinamoe,vile-metstinamu,huhuilijatinami,hullámos tinamu,波斑穴(共鸟),シロハラシギダチョウ,Amazontinamu,kusacz falisty,Полосатый криптуреллус,tinama vlnkovaná,Inambutinamo
CBRO#0037,Crypturellus strigulosus,inhambu-relógio,Brazilian Tinamou,BR,1 Primária,09 Espécie,Tinamiformes,,,,,Tinamidae,,Crypturellus,strigulosus,inambu-relógio,Crypturellus strigulosus,Brazilian Tinamou,bratin1,Crypturellus strigulosus,Tropical s Amazonian Brazil; adjacent e Peru and nw Bolivia,Tinamú Brasileño,Rotkehltinamu,Tinamo del Brasile,Tinamou oariana,tinama brazilská,Brasiliansk Tinamu,Braziliaanse Tinamoe,punakael-metstinamu,brasiliantinami,brazil tinamu,巴西穴(共鸟),ブラジルシギダチョウ,Brasiltinamu,kusacz rdzawoszyi,Красногорлый криптуреллус,tinama nížinná,Brasiliansk tinamo
CBRO#0038,Crypturellus duidae,inhambu-de-pé-cinza,Gray-legged Tinamou,BR#,1 Primária,09 Espécie,Tinamiformes,,,,,Tinamidae,,Crypturellus,duidae,inambu-de-pé-cinza,Crypturellus duidae,Gray-legged Tinamou,gyltin1,Crypturellus duidae,Tropical forests of e-central Colombia to s Venezuela,Tinamú Patigrís,Graufußtinamu,Tinamo zampegrigie,Tinamou de Zimmer,tinama šedonohá,Gråbenet Tinamu,Grijspoottinamoe,halljalg-metstinamu,harmaajalkatinami,,灰腿穴(共鸟),アオアシシギダチョウ,Gråbeintinamu,kusacz szaronogi,Сероногий криптуреллус,tinama sivonohá,Gråbent tinamo
CBRO#0039,Crypturellus erythropus,inhambu-de-perna-vermelha,Red-legged Tinamou,BR,1 Primária,09 Espécie,Tinamiformes,,,,,Tinamidae,,Crypturellus,erythropus,inambu-de-perna-vermelha,Crypturellus erythropus,Red-legged Tinamou,reltin1,Crypturellus erythropus,,Tinamú Patirrojo,Rotfußtinamu,Tinamo zamperosse,Tinamou à pieds rouges,tinama rudonohá,Rødbenet Tinamu,Roodpoottinamoe,punajalg-metstinamu,punajalkatinami,,红脚穴(共鸟),アカアシシギダチョウ,Rødbeintinamu,kusacz czerwononogi,Красноногий криптуреллюс,tinama červenonohá,Rödfotad tinamo
CBRO#0042,Crypturellus zabele,zabelê,Zabele Tinamou,BR; En,1 Primária,09 Espécie,Tinamiformes,,,,,Tinamidae,,Crypturellus,zabele,,Crypturellus noctivagus zabele,,yeltin2,Crypturellus noctivagus zabele,Lowlands of ne Brazil (Piauí to Bahia and Minas Gerais),,,,,,,,,,,,,,,,,
CBRO#0041,Crypturellus noctivagus,jaó-do-sul,Yellow-legged Tinamou,BR; En,1 Primária,09 Espécie,Tinamiformes,,,,,Tinamidae,,Crypturellus,noctivagus,jaó-do-sul,Crypturellus noctivagus,Yellow-legged Tinamou,yeltin3,Crypturellus noctivagus noctivagus,Coastal se Brazil (Minas Gerais to Rio Grande do Sul),Tinamú Patigualdo,Gelbfußtinamu,Tinamo zampegialle,Tinamou noctivague,tinama žlutonohá,Gulbenet Tinamu,Geelpoottinamoe,tanu-metstinamu,keltajalkatinami,,黄腿穴(共鸟),キアシシギダチョウ,Gulbeintinamu,kusacz żółtonogi,Желтоногий криптуреллус,tinama pásikavá,Gulbent tinamo
CBRO#0044,Crypturellus atrocapillus,inhambu-de-coroa-preta,Black-capped Tinamou,BR,1 Primária,09 Espécie,Tinamiformes,,,,,Tinamidae,,Crypturellus,atrocapillus,inambu-de-coroa-preta,Crypturellus atrocapillus,Black-capped Tinamou,blctin1,Crypturellus atrocapillus,,Tinamú Capirotado,Schwarzkappentinamu,Tinamo capinero,Tinamou à calotte noire,tinama černotemenná,Sodkronet Tinamu,Zwartkoptinamoe,tumekiird-metstinamu,nokipäätinami,,黑顶穴(共鸟),ズグロシギダチョウ,Svarthettetinamu,kusacz kapturowy,Красноногий криптуреллус,tinama čiapočkatá,Svarthättad tinamo
CBRO#0046,Crypturellus variegatus,inhambu-anhangá,Variegated Tinamou,BR,1 Primária,09 Espécie,Tinamiformes,,,,,Tinamidae,,Crypturellus,variegatus,inambu-anhangá,Crypturellus variegatus,Variegated Tinamou,vartin1,Crypturellus variegatus,Colombia to Venezuela; the Guianas; n Bolivia and Amaz. Brazil,Tinamú Abigarrado,Rotbrusttinamu,Tinamo variegato,Tinamou varié,tinama pestrobarvá,Sorthovedet Tinamu,Bonte Tinamoe,mustpea-metstinamu,punarintatinami,,杂色穴(共鸟),ムネアカシギダチョウ,Rusthalstinamu,kusacz pstry,Красногрудый криптуреллус,tinama pestrá,Broktinamo
CBRO#0047,Crypturellus brevirostris,inhambu-carijó,Rusty Tinamou,BR,1 Primária,09 Espécie,Tinamiformes,,,,,Tinamidae,,Crypturellus,brevirostris,inambu-carijó,Crypturellus brevirostris,Rusty Tinamou,rustin1,Crypturellus brevirostris,northwestern Brazil; and probably adjacent Colombia; southern Guyana and southern Suriname; French Guiana and northeastern Amazonian Brazil (Amapá),Tinamú Herrumbroso,Rosttinamu,Tinamo rugginoso,Tinamou rubigineux,tinama pralesní,Rustfarvet Tinamu,Rosse Tinamoe,lammi-metstinamu,isohuittitinami,,锈色穴(共鸟),アマゾンシギダチョウ,Jungeltinamu,kusacz rdzawy,Рыжий криптуреллус,tinama hrdzavá,Rosttinamo
CBRO#0048,Crypturellus bartletti,inhambu-anhangaí,Bartlett's Tinamou,BR,1 Primária,09 Espécie,Tinamiformes,,,,,Tinamidae,,Crypturellus,bartletti,inambu-anhangaí,Crypturellus bartletti,Bartlett's Tinamou,bartin2,Crypturellus bartletti,Tropical w Amazonian Brazil; e Peru and n Bolivia,Tinamú de Bartlett,Bartlett-Tinamu,Tinamo di Bartlett,Tinamou de Bartlett,tinama Bartlettova,Bartletts Tinamu,Bartletts Tinamoe,ruske-metstinamu,amazoniantinami,Bartlett-tinamu,巴氏穴(共鸟),オトメシギダチョウ,Skogtinamu,kusacz płowy,Бартлеттов криптуреллус,tinama plavobruchá,Bartletts tinamo
CBRO#0049,Crypturellus parvirostris,inhambu-chororó,Small-billed Tinamou,BR,1 Primária,09 Espécie,Tinamiformes,,,,,Tinamidae,,Crypturellus,parvirostris,inambu-chororó,Crypturellus parvirostris,Small-billed Tinamou,smbtin1,Crypturellus parvirostris,Patchily distributed Amazon basin south to ne Argentina,Tinamú Piquicorto,Kleinschnabeltinamu,Tinamo beccopiccolo,Tinamou à petit bec,tinama malozobá,Kortnæbbet Tinamu,Kortsnaveltinamoe,lühinokk-metstinamu,nykerötinami,kiscsőrű fürjtinamu,小嘴穴(共鸟),コバシシギダチョウ,Kortnebbtinamu,kusacz krótkodzioby,Короткоклювый криптуреллус,tinama malozobá,Smånäbbad tinamo
CBRO#0050,Crypturellus tataupa,inhambu-chintã,Tataupa Tinamou,BR,1 Primária,09 Espécie,Tinamiformes,,,,,Tinamidae,,Crypturellus,tataupa,inambu-chintã,Crypturellus tataupa,Tataupa Tinamou,tattin1,Crypturellus tataupa,,Tinamú Tataupá,Tataupatinamu,Tinamo tataupa,Tinamou tataupa,tinama tataupa,Tataupatinamu,Tataupatinamoe,tataupa-metstinamu,huittitinami,Tataupa-tinamu,塔陶穴(共鸟),ヒメシギダチョウ,Tataupatinamu,kusacz śniady,Татаупа,tinama tataupa,Tataupatinamo
CBRO#0054,Rhynchotus rufescens,perdiz,Red-winged Tinamou,BR,1 Primária,09 Espécie,Tinamiformes,,,,,Tinamidae,,Rhynchotus,rufescens,perdiz,Rhynchotus rufescens,Red-winged Tinamou,rewtin1,Rhynchotus rufescens,,Tinamú Alirrojo,Pampahuhn,Tinamo alirosse,Tinamou isabelle,tinama inambu,Pampashøne,Pampahoen,pampatinamu,pampatinami,pampatinamu,红翅(共鸟),アカバネシギダチョウ,Rødvingetinamu,kusacz rdzawoskrzydły,Краснокрылый тинаму,inambu vlnkovaný,Rostvingad tinamo
CBRO#0058,Nothura boraquira,codorna-do-nordeste,White-bellied Nothura,BR,1 Primária,09 Espécie,Tinamiformes,,,,,Tinamidae,,Nothura,boraquira,codorna-do-nordeste,Nothura boraquira,White-bellied Nothura,whbnot1,Nothura boraquira,NE Brazil to e Bolivia and ne Paraguay,Tinamú Ventriblanco,Weißbauch-Steißhuhn,Tinamo panciabianca,Tinamou boraquira,tinama pastvinná,Hvidbuget Vagteltinamu,Witbuiknothura,kaatinga-triiptinamu,isoviiriäistinami,,白腹拟(共鸟),ウズラシギダチョウ,Hvitøyetinamu,kusacz białobrzuchy,Белобрюхий нотура,inambu svetlobruchý,Vitbukad tinamo
CBRO#0059,Nothura minor,codorna-mineira,Lesser Nothura,BR,1 Primária,09 Espécie,Tinamiformes,,,,,Tinamidae,,Nothura,minor,codorna-mineira,Nothura minor,Lesser Nothura,lesnot1,Nothura minor,semiarid grasslands and scrub of interior southeastern Brazil and east central Paraguay,Tinamú Menor,Wachtelsteißhuhn,Tinamo minore,Petit Tinamou,tinama menší,Vagteltinamu,Kleine Nothura,serrado-triiptinamu,viiriäistinami,,小拟(共鸟),ヒメウズラシギダチョウ,Dvergtinamu,kusacz mały,Малый нотура,inambu malý,Småtinamo
CBRO#0060,Nothura maculosa,codorna-amarela,Spotted Nothura,BR,1 Primária,09 Espécie,Tinamiformes,,,,,Tinamidae,,Nothura,maculosa,codorna-amarela,Nothura maculosa,Spotted Nothura,sponot1,Nothura maculosa,,Tinamú Manchado,Fleckensteißhuhn,Tinamo macchiato,Tinamou tacheté,tinama skvrnitá,Plettet Vagteltinamu,Gevlekte Nothura,nurm-triiptinamu,viirutinami,foltos tinamu,斑拟(共鸟),マダラシギダチョウ,Flekktinamu,kusacz kreskowany,Пятнистый нотура,inambu čiarkový,Fläckig tinamo
CBRO#0065,Taoniscus nanus,codorna-carapé,Dwarf Tinamou,BR,1 Primária,09 Espécie,Tinamiformes,,,,,Tinamidae,,Taoniscus,nanus,codorninha,Taoniscus nanus,Dwarf Tinamou,dwatin1,Taoniscus nanus,Interior se Brazil and ne Argentina (Misiones),Tinamú Enano,Pfauensteißhuhn,Tinamo nano,Tinamou carapé,tinama drobná,Dværgtinamu,Dwergtinamoe,värbtinamu,kääpiötinami,,侏(共鸟),マメシギダチョウ,Pygmétinamu,kusacz karłowaty,Карликовый тинаму,inambu krpatý,Dvärgtinamo
CBRO#0069,Anhima cornuta,anhuma,Horned Screamer,BR,1 Primária,09 Espécie,Anseriformes,,,,,Anhimidae,,Anhima,cornuta,anhuma,Anhima cornuta,Horned Screamer,horscr1,Anhima cornuta,Lowlands of Venezuela to n Bolivia and Amazonian Brazil,Chajá Añuma,Hornwehrvogel,Kaimichi cornuto,Kamichi cornu,kamiš růžkatý,Anhima,Anioema,sarvik-ogatiib (sarvik-tšahha),sarviromisko,egyszarvú csája,角叫鸭,ツノサケビドリ,Horngjeterfugl,skrzydłoszpon rogaty,Рогатая паламедея,anhima rohatá,Hornvärnfågel
CBRO#0071,Chauna torquata,tachã,Southern Screamer,BR,1 Primária,09 Espécie,Anseriformes,,,,,Anhimidae,,Chauna,torquata,tachã,Chauna torquata,Southern Screamer,souscr1,Chauna torquata,Wet lowlands of se Peru to n Argentina and s Brazil,Chajá Común,Halsband-Wehrvogel,Kaimichi meridionale,Kamichi à collier,čája obojková,Sorthalset Chaja,Kuifhoenderkoet,kaelus-ogatiib (kaelustšahha),töyhtöromisko,örvös csája,冠叫鸭,カンムリサケビドリ,Kragegjeterfugl,skrzydłoszpon obrożny,Хохлатая паламедея,čaja obojková,Tofsvärnfågel
CBRO#0075,Dendrocygna bicolor,marreca-caneleira,Fulvous Whistling-Duck,BR; VI (W),1 Primária,09 Espécie,Anseriformes,,,,,Anatidae,Dendrocygninae,Dendrocygna,bicolor,marreca-caneleira,Dendrocygna bicolor,Fulvous Whistling-Duck,fuwduc,Dendrocygna bicolor,S US to Argentina; e Africa; Madagascar and s Asia,Suirirí Bicolor,Gelbbrust-Pfeifgans,Dendrocigna fulva,Dendrocygne fauve,husička dvoubarvá,Okkertræand,Rosse Fluiteend,ruuge-vilepart,ruskoviheltäjäsorsa,sujtásos fütyülőlúd,茶色树鸭,アカリュウキュウガモ,Brunplystreand,drzewica dwubarwna,Рыжая древесная утка,stromárka hrdzavá,Brun visseland
CBRO#0076,Dendrocygna viduata,irerê,White-faced Whistling-Duck,BR,1 Primária,09 Espécie,Anseriformes,,,,,Anatidae,Dendrocygninae,Dendrocygna,viduata,irerê,Dendrocygna viduata,White-faced Whistling-Duck,wfwduc1,Dendrocygna viduata,Costa Rica to Brazil; Africa; Madagascar and Comoro Islands,Suirirí Cariblanco,Witwenpfeifgans,Dendrocigna facciabianca,Dendrocygne veuf,husička vdovka,Nonnetræand,Witwangfluiteend,valgepõsk-vilepart,naamioviheltäjäsorsa,apáca-fütyülőlúd,白脸树鸭,シロガオリュウキュウガモ,Maskeplystreand,drzewica białolica,Белолицая древесная утка,stromárka bielohlavá,Vithuvad visseland
CBRO#0077,Dendrocygna autumnalis,marreca-cabocla,Black-bellied Whistling-Duck,BR,1 Primária,09 Espécie,Anseriformes,,,,,Anatidae,Dendrocygninae,Dendrocygna,autumnalis,marreca-cabocla,Dendrocygna autumnalis,Black-bellied Whistling-Duck,bbwduc,Dendrocygna autumnalis,,Suirirí Piquirrojo,Rotschnabel-Pfeifgans,Dendrocigna pancianera,Dendrocygne à ventre noir,husička podzimní,Sortbuget Træand,Zwartbuikfluiteend,punanokk-vilepart,punaviheltäjäsorsa,piroscsőrű fütyülőlúd,黑腹树鸭,アカハシリュウキュウガモ,Rødnebbplystreand,drzewica czarnobrzucha,Осенняя древесная утка,stromárka sivokrká,Svartbukad visseland
CBRO#0081,Cygnus melancoryphus,cisne-de-pescoço-preto,Black-necked Swan,BR,1 Primária,09 Espécie,Anseriformes,,,,,Anatidae,Anserinae,Cygnus,melancoryphus,cisne-de-pescoço-preto,Cygnus melancoryphus,Black-necked Swan,blnswa2,Cygnus melancoryphus,S Brazil to Tierra del Fuego and Falkland Islands,Cisne Cuellinegro,Schwarzhalsschwan,Cigno collonero,Cygne à cou noir,labuť černokrká,Sorthalset Svane,Zwarthalszwaan,mustkael-luik,mustakaulajoutsen,feketenyakú hattyú,黑颈天鹅,クロエリハクチョウ,Svarthalssvane,łabędź czarnoszyi,Черношейный лебедь,labuť čiernokrká,Svarthalsad svan
CBRO#0083,Coscoroba coscoroba,capororoca,Coscoroba Swan,BR,1 Primária,09 Espécie,Anseriformes,,,,,Anatidae,Anserinae,Coscoroba,coscoroba,capororoca,Coscoroba coscoroba,Coscoroba Swan,cosswa1,Coscoroba coscoroba,S Brazil to Paraguay; Uruguay; Tierra del Fuego and Falkland Is.,Cisne Coscoroba,Coscorobaschwan,Cigno coscoroba,Coscoroba blanc,labuť koskoroba,Coscorobasvane,Coscoroba,koskoroba (koskorobaluik),ankkajoutsen,koszkoróbahattyú,扁嘴天鹅,カモハクチョウ,Coscorobasvane,koskoroba,Коскороба,koskoroba biela,Coscorobasvan
CBRO#0089,Neochen jubata,pato-corredor,Orinoco Goose,BR,1 Primária,09 Espécie,Anseriformes,,,,,Anatidae,Anatinae,Neochen,jubata,pato-corredor,Neochen jubata,Orinoco Goose,origoo1,Oressochen jubatus,Orinoco and Amazon River basins to nw Argentina,Ganso del Orinoco,Orinokogans,Oca dell'Orinoco,Ouette de l'Orénoque,husice orinocká,Orinocogås,Orinocogans,selvahani,amazonianhanhi,orinocói lúd,绿翅雁,オリノコガン,Amazongås,grzywoszyjka,Оринокский гусь,hrivnatka vzpriamená,Orinocogås
CBRO#0086,Chloephaga picta,ganso-de-magalhães,Upland Goose,VA (S),1 Primária,09 Espécie,Anseriformes,,,,,Anatidae,Anatinae,Chloephaga,picta,ganso-de-magalhães,Chloephaga picta,Upland Goose,uplgoo1,Chloephaga picta,,Cauquén Común,Magellangans,Oca di Magellano,Ouette de Magellan,husice magellanská,Magellangås,Magelhaengans,niidu-nösuhani,valkopäähansu,Magellán-lúd,斑胁草雁,マゼランガン,Sebragås,magelanka zmienna,Магелланов гусь,bernaška pásikavá,Magellangås
CBRO#0091,Cairina moschata,pato-do-mato,Muscovy Duck,BR,1 Primária,09 Espécie,Anseriformes,,,,,Anatidae,Anatinae,Cairina,moschata,pato-do-mato,Cairina moschata,Muscovy Duck,musduc,Cairina moschata,lowlands from northern Mexico south; west of the Andes; to southwestern Ecuador and; east of the Andes; to northeastern Argentina and Brazil,Pato Criollo,Moschusente,Anatra muta,Canard musqué,pižmovka velká,Moskusand,Muskuseend,muskuspart,myskisorsa,pézsmaréce,疣鼻栖鸭,ノバリケン,Knoppand,piżmówka,Мускусная утка,pižmovka lesklá,Myskand
CBRO#0093,Sarkidiornis sylvicola,pato-de-crista,Comb Duck,BR,1 Primária,09 Espécie,Anseriformes,,,,,Anatidae,Anatinae,Sarkidiornis,sylvicola,pato-de-crista,Sarkidiornis sylvicola,Comb Duck,comduc3,Sarkidiornis sylvicola,Tropical South America (east of the Andes) to n Argentina,Pato Crestudo Sudamericano,,,Sarcidiorne sylvicole,,Amerikansk Knopgås,Amerikaanse Knobbeleend,,,,美洲瘤鸭,,,dziwonos czarnoboczny,Лесная утка,hrebenatka hrbozobá,
CBRO#0095,Callonetta leucophrys,marreca-de-coleira,Ringed Teal,BR,1 Primária,09 Espécie,Anseriformes,,,,,Anatidae,Anatinae,Callonetta,leucophrys,marreca-de-coleira,Callonetta leucophrys,Ringed Teal,rintea1,Callonetta leucophrys,S Brazil to Bolivia; Paraguay; Uruguay and ne Argentina,Pato Acollarado,Rotschulterente,Anatra dagli anelli,Canard à collier noir,kachnička šedoboká,Sydamerikansk Dværgand,Ringtaling,guaranii part,pisamatavi,vörösvállú réce,环颈鸭,クビワコガモ,Prydand,cudokaczka,Кольчатый чирок,rybnikárka obojková,Beigekindad and
CBRO#0097,Amazonetta brasiliensis,marreca-ananaí,Brazilian Teal,BR,1 Primária,09 Espécie,Anseriformes,,,,,Anatidae,Anatinae,Amazonetta,brasiliensis,ananaí,Amazonetta brasiliensis,Brazilian Teal,bratea1,Amazonetta brasiliensis,,Pato Brasileño,Amazonasente,Anatra del Brasile,Canard amazonette,kachnička amazonská,Amazonand,Amazonetaling,brasiilia part,amazoniantavi,amazonasi réce,巴西凫,アカアシコガモ,Brasiland,amazonetka,Бразильский чирок,kačica amazoňanka,Brasiliansk and
CBRO#0110,Spatula versicolor,marreca-cricri,Silver Teal,BR; VI (W),1 Primária,09 Espécie,Anseriformes,,,,,Anatidae,Anatinae,Spatula,versicolor,marreca-cricri,Anas versicolor,Silver Teal,siltea1,Spatula versicolor,,Cerceta Capuchina,Silberente,Alzavola argentata,Sarcelle bariolée,čírka modrozobá,Pampasand,Zilvertaling,pampa-üllpart,kalottitavi,ezüstréce,银鸭,ギンイロシマアジ,Sølvand,srebrzanka modrodzioba,Разноцветный чирок,kačica striebristá,Silverand
CBRO#0115,Spatula platalea,marreca-colhereira,Red Shoveler,VI (S); BR,1 Primária,09 Espécie,Anseriformes,,,,,Anatidae,Anatinae,Spatula,platalea,marreca-colhereira,Anas platalea,Red Shoveler,redsho1,Spatula platalea,S Peru and s Brazil to Tierra del Fuego and Falkland Islands,Cuchara Argentino,Fuchslöffelente,Mestolone rosso,Canard spatule,lžičák tečkovaný,Sydamerikansk Skeand,Argentijnse Slobeend,täpik-luitsnokkpart,argentiinanlapasorsa,argentin kanalasréce,赤琵嘴鸭,アカハシビロガモ,Prikkskjeand,płaskonos jasnogłowy,Южноамериканская широконоска,kačica širokozobá,Sydamerikansk skedand
CBRO#0112,Spatula discors,marreca-de-asa-azul,Blue-winged Teal,VI (N),1 Primária,09 Espécie,Anseriformes,,,,,Anatidae,Anatinae,Spatula,discors,marreca-de-asa-azul,Anas discors,Blue-winged Teal,buwtea,Spatula discors,North America; winters s US to central Argentina,Cerceta Aliazul,Blauflügelente,Marzaiola americana,Sarcelle à ailes bleues,čírka modrokřídlá,Blåvinget And,Blauwvleugeltaling,sini-rägapart,sinisiipitavi,kékszárnyú réce,蓝翅鸭,ミカヅキシマアジ,Blåvingeand,cyranka modroskrzydła,Синекрылый чирок,kačica modrokrídla,Blåvingad årta
CBRO#0113,Spatula cyanoptera,marreca-colorada,Cinnamon Teal,VA (S),1 Primária,09 Espécie,Anseriformes,,,,,Anatidae,Anatinae,Spatula,cyanoptera,marreca-colorada,Anas cyanoptera,Cinnamon Teal,cintea,Spatula cyanoptera,,Cerceta Colorada,Zimtente,Alzavola cannella,Sarcelle cannelle,čírka skořicová,Kaneland,Kaneeltaling,puna-rägapart,punatavi,fahéjszínű réce,桂红鸭,アカシマアジ,Kaneland,cynamonka,Коричневый чирок,kačica škoricová,Kanelårta
CBRO#0101,Mareca sibilatrix,marreca-oveira,Chiloe Wigeon,VI (S),1 Primária,09 Espécie,Anseriformes,,,,,Anatidae,Anatinae,Mareca,sibilatrix,marreca-oveira,Anas sibilatrix,Chiloe Wigeon,chiwig1,Mareca sibilatrix,S South America and Falkland Islands; winters to se Brazil,Silbón Overo,Chilepfeifente,Fischione del Cile,Canard de Chiloé,hvízdák chilský,Chilepibeand,Chileense Smient,patagoonia viupart,patagonianhaapana,chilei fütyülőréce,黑白斑胸鸭,ワキアカヒドリ,Sørblesand,świstun chilijski,Роскошная свиязь,kačica vlnkovaná,Chilensk bläsand
CBRO#0107,Anas bahamensis,marreca-toicinho,White-cheeked Pintail,BR,1 Primária,09 Espécie,Anseriformes,,,,,Anatidae,Anatinae,Anas,bahamensis,marreca-toicinho,Anas bahamensis,White-cheeked Pintail,whcpin,Anas bahamensis,,Anade Gargantillo,Bahamaente,Codone guancebianche,Canard des Bahamas,ostralka bělolící,Hvidkindet Spidsand,Bahamapijlstaart,mangroovipart,valkoposkisorsa,Bahama-réce,白脸针尾鸭,ホオジロオナガガモ,Hvitkinnand,rożeniec białolicy,Багамская шилохвость,kačica bielolíca,Bahamaand
CBRO#0104,Anas acuta,arrabio,Northern Pintail,VA (N?; E?),1 Primária,09 Espécie,Anseriformes,,,,,Anatidae,Anatinae,Anas,acuta,arrabio,Anas acuta,Northern Pintail,norpin,Anas acuta,Palearctic and N America; winters to s Eurasia and n S America,Anade Rabudo,Spießente,Codone,Canard pilet,ostralka štíhlá,Spidsand,Pijlstaart,soopart e. pahlsaba-part,jouhisorsa,nyílfarkú réce,针尾鸭,オナガガモ,Stjertand,rożeniec (zwyczajny),Шилохвость,kačica ostrochvostá,Stjärtand
